student_id,profile,weak_topic,level,recommended_course
STU_0017,Student is interested in Machine Learning. Completed course on Cloud with score 57%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Design Thinking for the Greater Good Innovation in the Social Sector
STU_0018,Student is interested in Cloud. Completed course on NLP with score 65%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Introduction to Big Data
STU_0019,Student is interested in Data Science. Completed course on Computer Vision with score 55%. Current level is Advanced. Needs improvement in Data Science.,Data Science,Advanced,Managerial Economics and Business Analysis
STU_0020,Student is interested in SQL. Completed course on Computer Vision with score 77%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,Geopoltica y gobernanza global riesgos y oportunidades
STU_0021,Student is interested in NLP. Completed course on Data Science with score 71%. Current level is Beginner. Needs improvement in SQL.,SQL,Beginner,Swift 5 iOS Application Developer
STU_0022,Student is interested in Machine Learning. Completed course on Python with score 80%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,The Science of Training Young Athletes
STU_0023,Student is interested in Web Development. Completed course on Python with score 64%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Introduction to Computer Science and Programming
STU_0024,Student is interested in SQL. Completed course on Computer Vision with score 95%. Current level is Beginner. Needs improvement in SQL.,SQL,Beginner,Research Data Management and Sharing
STU_0025,Student is interested in Python. Completed course on SQL with score 89%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Fundamentals of Immunology Innate Immunity and BCell Function
STU_0026,Student is interested in Python. Completed course on Computer Vision with score 50%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,A Law Students Toolkit
STU_0027,Student is interested in Computer Vision. Completed course on SQL with score 72%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Palliative Care Its Not Just Hospice Anymore
STU_0028,Student is interested in Computer Vision. Completed course on SQL with score 49%. Current level is Intermediate. Needs improvement in NLP.,NLP,Intermediate,Teach English Now Teaching Language Online
STU_0029,Student is interested in Data Science. Completed course on SQL with score 40%. Current level is Advanced. Needs improvement in SQL.,SQL,Advanced,Foundations of Positive Psychology
STU_0030,Student is interested in Cybersecurity. Completed course on Machine Learning with score 63%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Econometrics Methods and Applications
STU_0031,Student is interested in Machine Learning. Completed course on NLP with score 45%. Current level is Advanced. Needs improvement in Python.,Python,Advanced,Introduction to Genomic Technologies
STU_0032,Student is interested in Python. Completed course on SQL with score 48%. Current level is Advanced. Needs improvement in Data Science.,Data Science,Advanced,Introduction to Data Science in Python
STU_0033,Student is interested in SQL. Completed course on Data Science with score 73%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Influencing Storytelling Change Management and Governance
STU_0034,Student is interested in NLP. Completed course on SQL with score 85%. Current level is Intermediate. Needs improvement in NLP.,NLP,Intermediate,High Performance Collaboration Leadership Teamwork and Negotiation
STU_0035,Student is interested in Cloud. Completed course on Cybersecurity with score 68%. Current level is Beginner. Needs improvement in SQL.,SQL,Beginner,Electronic Music Production
STU_0036,Student is interested in NLP. Completed course on Python with score 41%. Current level is Advanced. Needs improvement in Cloud.,Cloud,Advanced,Machine Learning for Trading
STU_0037,Student is interested in NLP. Completed course on NLP with score 44%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,People Analytics
STU_0038,Student is interested in Machine Learning. Completed course on NLP with score 42%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Atencin Primaria en Salud El desafo de las Enfermedades no Transmisibles
STU_0039,Student is interested in SQL. Completed course on NLP with score 82%. Current level is Intermediate. Needs improvement in Computer Vision.,Computer Vision,Intermediate,DesignLed Strategy Design thinking for business strategy and entrepreneurship
STU_0040,Student is interested in SQL. Completed course on Data Science with score 55%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,Troubles du spectre de lautisme  diagnostic
STU_0041,Student is interested in Web Development. Completed course on NLP with score 46%. Current level is Advanced. Needs improvement in Python.,Python,Advanced,Inspirational Leadership Leading with Sense
STU_0042,Student is interested in Cloud. Completed course on Web Development with score 69%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Applied Data Science Capstone
STU_0043,Student is interested in Python. Completed course on Machine Learning with score 86%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,The Truth About Cats and Dogs
STU_0044,Student is interested in Python. Completed course on NLP with score 52%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,International Womens Health and Human Rights
STU_0045,Student is interested in Data Science. Completed course on Web Development with score 57%. Current level is Intermediate. Needs improvement in Data Science.,Data Science,Intermediate,Energy Production Distribution  Safety
STU_0046,Student is interested in Python. Completed course on Cybersecurity with score 46%. Current level is Beginner. Needs improvement in SQL.,SQL,Beginner,Probability and Statistics To p or not to p
STU_0047,Student is interested in SQL. Completed course on Machine Learning with score 88%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Costos para los Negocios
STU_0048,Student is interested in Web Development. Completed course on Cybersecurity with score 53%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,Aprender
STU_0049,Student is interested in Data Science. Completed course on Web Development with score 64%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,The Modern World Part One Global History from 1760 to 1910
STU_0050,Student is interested in Cybersecurity. Completed course on Computer Vision with score 84%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,The Modern World Part One Global History from 1760 to 1910
STU_0051,Student is interested in SQL. Completed course on Cybersecurity with score 52%. Current level is Intermediate. Needs improvement in Data Science.,Data Science,Intermediate,Developing Applications with Google Cloud Platform 
STU_0052,Student is interested in Machine Learning. Completed course on SQL with score 87%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,Applied Plotting Charting  Data Representation in Python
STU_0053,Student is interested in Machine Learning. Completed course on Cybersecurity with score 94%. Current level is Advanced. Needs improvement in SQL.,SQL,Advanced,Control of Mobile Robots
STU_0054,Student is interested in Machine Learning. Completed course on SQL with score 94%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Aspectos bsicos de la planificacin y la gestin de proyectos
STU_0055,Student is interested in Python. Completed course on NLP with score 47%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Electric Industry Operations and Markets
STU_0056,Student is interested in Machine Learning. Completed course on Python with score 82%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Managing Your Health The Role of Physical Therapy and Exercise
STU_0057,Student is interested in SQL. Completed course on Cloud with score 53%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Social and Economic Networks  Models and Analysis
STU_0058,Student is interested in Cloud. Completed course on NLP with score 65%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Queering Identities LGBTQ Sexuality and Gender Identity
STU_0059,Student is interested in Computer Vision. Completed course on Cybersecurity with score 88%. Current level is Beginner. Needs improvement in Cloud.,Cloud,Beginner,AI for Medical Diagnosis
STU_0060,Student is interested in Cybersecurity. Completed course on Python with score 74%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Introduction to Systems Engineering
STU_0061,Student is interested in Computer Vision. Completed course on Data Science with score 44%. Current level is Beginner. Needs improvement in Cloud.,Cloud,Beginner,Getting Started with SAS Programming
STU_0062,Student is interested in Computer Vision. Completed course on Data Science with score 93%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Sequence Models
STU_0063,Student is interested in Computer Vision. Completed course on SQL with score 82%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,Finance for NonFinance Professionals
STU_0064,Student is interested in Python. Completed course on Data Science with score 47%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Structuring Machine Learning Projects
STU_0065,Student is interested in SQL. Completed course on Data Science with score 58%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Design Thinking for Innovation
STU_0066,Student is interested in Cloud. Completed course on NLP with score 72%. Current level is Intermediate. Needs improvement in Computer Vision.,Computer Vision,Intermediate,Engineering Project Management Initiating and Planning
STU_0067,Student is interested in Machine Learning. Completed course on Python with score 93%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,Anatomy
STU_0068,Student is interested in Machine Learning. Completed course on Cloud with score 80%. Current level is Intermediate. Needs improvement in Data Science.,Data Science,Intermediate,Corporate Finance Essentials
STU_0069,Student is interested in Cybersecurity. Completed course on SQL with score 75%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Business Model Innovation
STU_0070,Student is interested in Python. Completed course on Data Science with score 42%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,Medical Cannabis The Health Effects of THC and CBD
STU_0071,Student is interested in SQL. Completed course on Data Science with score 48%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Financial Technology Fintech Innovations
STU_0072,Student is interested in Cloud. Completed course on Machine Learning with score 53%. Current level is Advanced. Needs improvement in Cloud.,Cloud,Advanced,Energy Production Distribution  Safety
STU_0073,Student is interested in Python. Completed course on Cloud with score 95%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,Operating Systems and You Becoming a Power User
STU_0074,Student is interested in Data Science. Completed course on NLP with score 91%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Identifying Monitoring and Analyzing Risk and Incident Response and Recovery
STU_0075,Student is interested in Machine Learning. Completed course on Data Science with score 90%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Think Again I How to Understand Arguments
STU_0076,Student is interested in NLP. Completed course on Computer Vision with score 90%. Current level is Advanced. Needs improvement in Data Science.,Data Science,Advanced,Business English
STU_0077,Student is interested in Web Development. Completed course on Machine Learning with score 54%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Understanding Plants  Part I What a Plant Knows
STU_0078,Student is interested in Cybersecurity. Completed course on Cloud with score 92%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Digital Manufacturing  Design Technology
STU_0079,Student is interested in Machine Learning. Completed course on NLP with score 61%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,    JavaScript
STU_0080,Student is interested in Python. Completed course on Computer Vision with score 81%. Current level is Advanced. Needs improvement in Cloud.,Cloud,Advanced,Homeland Security and Cybersecurity
STU_0081,Student is interested in SQL. Completed course on Cloud with score 47%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,Cybersecurity and Its Ten Domains
STU_0082,Student is interested in Computer Vision. Completed course on Machine Learning with score 78%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Fundamentals of Visualization with Tableau
STU_0083,Student is interested in Cloud. Completed course on Web Development with score 47%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,Materials Science 10 Things Every Engineer Should Know
STU_0084,Student is interested in NLP. Completed course on Computer Vision with score 85%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,A Crash Course in Causality  Inferring Causal Effects from Observational Data
STU_0085,Student is interested in SQL. Completed course on SQL with score 63%. Current level is Intermediate. Needs improvement in NLP.,NLP,Intermediate,Astrobiology and the Search for Extraterrestrial Life
STU_0086,Student is interested in Cloud. Completed course on Cloud with score 86%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Introduction to TensorFlow for Artificial Intelligence Machine Learning and Deep Learning
STU_0087,Student is interested in Computer Vision. Completed course on Web Development with score 65%. Current level is Advanced. Needs improvement in Cloud.,Cloud,Advanced,FinTech Law and Policy
STU_0088,Student is interested in SQL. Completed course on Data Science with score 66%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Google Cloud Platform Big Data and Machine Learning Fundamentals
STU_0089,Student is interested in Data Science. Completed course on Computer Vision with score 75%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Financial Management
STU_0090,Student is interested in Computer Vision. Completed course on NLP with score 90%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Networking and Security Architecture with VMware NSX
STU_0091,Student is interested in Cloud. Completed course on Cybersecurity with score 68%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Design and Make Infographics ProjectCentered Course
STU_0092,Student is interested in SQL. Completed course on Cybersecurity with score 82%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Excel Skills for Business
STU_0093,Student is interested in SQL. Completed course on Cloud with score 92%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,R Programming
STU_0094,Student is interested in Computer Vision. Completed course on NLP with score 49%. Current level is Beginner. Needs improvement in NLP.,NLP,Beginner,Anatomy Musculoskeletal and Integumentary Systems
STU_0095,Student is interested in NLP. Completed course on Cybersecurity with score 69%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Patient Safety
STU_0096,Student is interested in NLP. Completed course on Web Development with score 65%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Computational Thinking for Problem Solving
STU_0097,Student is interested in Machine Learning. Completed course on Python with score 54%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Trading Strategies in Emerging Markets
STU_0098,Student is interested in SQL. Completed course on Cybersecurity with score 75%. Current level is Beginner. Needs improvement in Machine Learning.,Machine Learning,Beginner,Writing in the Sciences
STU_0099,Student is interested in Python. Completed course on Cybersecurity with score 91%. Current level is Intermediate. Needs improvement in Data Science.,Data Science,Intermediate,Python and Statistics for Financial Analysis
STU_0100,Student is interested in SQL. Completed course on SQL with score 88%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Nutricin y obesidad control de sobrepeso
STU_0101,Student is interested in SQL. Completed course on Web Development with score 68%. Current level is Beginner. Needs improvement in SQL.,SQL,Beginner,Success
STU_0102,Student is interested in Cybersecurity. Completed course on Cybersecurity with score 88%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,What is Compliance
STU_0103,Student is interested in Computer Vision. Completed course on SQL with score 80%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Essential Google Cloud Infrastructure Core Services
STU_0104,Student is interested in Cybersecurity. Completed course on Python with score 55%. Current level is Intermediate. Needs improvement in Computer Vision.,Computer Vision,Intermediate,Fundamentals of Computing
STU_0105,Student is interested in Cloud. Completed course on SQL with score 48%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Diseo y Creacin de un Emprendimiento Social
STU_0106,Student is interested in Web Development. Completed course on Data Science with score 44%. Current level is Intermediate. Needs improvement in NLP.,NLP,Intermediate,IBM Applied AI
STU_0107,Student is interested in Cloud. Completed course on SQL with score 66%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Deep Learning
STU_0108,Student is interested in Web Development. Completed course on Web Development with score 94%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,Google Cloud Platform Fundamentals for AWS Professionals
STU_0109,Student is interested in Cybersecurity. Completed course on Machine Learning with score 59%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,xito Profesional
STU_0110,Student is interested in Web Development. Completed course on SQL with score 91%. Current level is Advanced. Needs improvement in SQL.,SQL,Advanced,Devenir entrepreneur du changement
STU_0111,Student is interested in Cybersecurity. Completed course on NLP with score 67%. Current level is Intermediate. Needs improvement in Computer Vision.,Computer Vision,Intermediate,Advanced Machine Learning with TensorFlow on Google Cloud Platform
STU_0112,Student is interested in Web Development. Completed course on Cloud with score 86%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,What is Compliance
STU_0113,Student is interested in Cybersecurity. Completed course on Data Science with score 41%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,Modern Art  Ideas
STU_0114,Student is interested in Machine Learning. Completed course on Python with score 48%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,Data Analysis and Interpretation
STU_0115,Student is interested in Machine Learning. Completed course on Computer Vision with score 60%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Introduccin a la programacin en Python I Aprendiendo a programar con Python
STU_0116,Student is interested in Cloud. Completed course on Cloud with score 57%. Current level is Intermediate. Needs improvement in Web Development.,Web Development,Intermediate,English Composition I
STU_0117,Student is interested in Python. Completed course on Cybersecurity with score 87%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,Antimicrobial resistance  theory and methods
STU_0118,Student is interested in Cloud. Completed course on NLP with score 89%. Current level is Advanced. Needs improvement in Python.,Python,Advanced,An Introduction to American Law
STU_0119,Student is interested in Machine Learning. Completed course on NLP with score 93%. Current level is Beginner. Needs improvement in NLP.,NLP,Beginner,Operations Analytics
STU_0120,Student is interested in Data Science. Completed course on NLP with score 70%. Current level is Advanced. Needs improvement in Data Science.,Data Science,Advanced,Business Strategy
STU_0121,Student is interested in NLP. Completed course on Cybersecurity with score 89%. Current level is Intermediate. Needs improvement in Computer Vision.,Computer Vision,Intermediate,Crash Course on Python
STU_0122,Student is interested in Python. Completed course on Data Science with score 46%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Advanced Business Analytics
STU_0123,Student is interested in Computer Vision. Completed course on Web Development with score 85%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Autodesk Certified Professional Revit for Architectural Design Exam Prep
STU_0124,Student is interested in NLP. Completed course on Python with score 94%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Music Business
STU_0125,Student is interested in Python. Completed course on Machine Learning with score 74%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Psychological First Aid
STU_0126,Student is interested in Cloud. Completed course on Python with score 81%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,AWS Fundamentals
STU_0127,Student is interested in Web Development. Completed course on Cybersecurity with score 67%. Current level is Intermediate. Needs improvement in Python.,Python,Intermediate,Plant Bioinformatic Methods
STU_0128,Student is interested in Cybersecurity. Completed course on Data Science with score 51%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Java Programming and Software Engineering Fundamentals
STU_0129,Student is interested in Computer Vision. Completed course on SQL with score 69%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,User Interface Design
STU_0130,Student is interested in Computer Vision. Completed course on Cloud with score 93%. Current level is Beginner. Needs improvement in NLP.,NLP,Beginner,Essentials of Global Health
STU_0131,Student is interested in Cybersecurity. Completed course on NLP with score 76%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Python for Data Science and AI
STU_0132,Student is interested in Web Development. Completed course on Cloud with score 71%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,Data Analysis and Interpretation
STU_0133,Student is interested in Cybersecurity. Completed course on NLP with score 91%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Fundamentals of Immunology Innate Immunity and BCell Function
STU_0134,Student is interested in Computer Vision. Completed course on Computer Vision with score 40%. Current level is Advanced. Needs improvement in SQL.,SQL,Advanced,Data Mining
STU_0135,Student is interested in Python. Completed course on NLP with score 71%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Systems Thinking In Public Health
STU_0136,Student is interested in NLP. Completed course on Cybersecurity with score 68%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Blockchain Revolution
STU_0137,Student is interested in Computer Vision. Completed course on NLP with score 84%. Current level is Beginner. Needs improvement in Web Development.,Web Development,Beginner,Financial Markets and Investment Strategy
STU_0138,Student is interested in Cloud. Completed course on Cybersecurity with score 73%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,Information Visualization
STU_0139,Student is interested in SQL. Completed course on Cloud with score 84%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Epigenetic Control of Gene Expression
STU_0140,Student is interested in Computer Vision. Completed course on Computer Vision with score 47%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Data Science Math Skills
STU_0141,Student is interested in Cloud. Completed course on Python with score 88%. Current level is Advanced. Needs improvement in SQL.,SQL,Advanced,Data Analytics for Lean Six Sigma
STU_0142,Student is interested in NLP. Completed course on NLP with score 57%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Miracles of Human Language An Introduction to Linguistics
STU_0143,Student is interested in SQL. Completed course on Computer Vision with score 93%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,FinTech Finance Industry Transformation and Regulation
STU_0144,Student is interested in NLP. Completed course on Cloud with score 59%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Six Sigma and the Organization Advanced
STU_0145,Student is interested in SQL. Completed course on Data Science with score 42%. Current level is Beginner. Needs improvement in Computer Vision.,Computer Vision,Beginner,Machine Learning for Business Professionals
STU_0146,Student is interested in Computer Vision. Completed course on Data Science with score 46%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Mastering Data Analysis in Excel
STU_0147,Student is interested in Computer Vision. Completed course on Cybersecurity with score 68%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,Data Analysis with Python
STU_0148,Student is interested in Machine Learning. Completed course on Computer Vision with score 47%. Current level is Beginner. Needs improvement in Cybersecurity.,Cybersecurity,Beginner,Hotel Management Distribution Revenue and Demand Management
STU_0149,Student is interested in Cybersecurity. Completed course on Python with score 49%. Current level is Beginner. Needs improvement in Machine Learning.,Machine Learning,Beginner,UX Design Fundamentals
STU_0150,Student is interested in Computer Vision. Completed course on Python with score 47%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Teamwork Skills Communicating Effectively in Groups
STU_0151,Student is interested in Web Development. Completed course on NLP with score 64%. Current level is Intermediate. Needs improvement in SQL.,SQL,Intermediate,International Law in Action A Guide to the International Courts and Tribunals in The Hague
STU_0152,Student is interested in Computer Vision. Completed course on Web Development with score 76%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Aprendiendo a aprender Poderosas herramientas mentales con las que podrs dominar temas difciles Learning How to Learn
STU_0153,Student is interested in Python. Completed course on NLP with score 56%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Become a Journalist Report the News
STU_0154,Student is interested in Data Science. Completed course on NLP with score 75%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Continuous Delivery  DevOps
STU_0155,Student is interested in Machine Learning. Completed course on Web Development with score 84%. Current level is Advanced. Needs improvement in Cybersecurity.,Cybersecurity,Advanced,Introduction to Cyber Attacks
STU_0156,Student is interested in Computer Vision. Completed course on Machine Learning with score 58%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Everyday Parenting The ABCs of Child Rearing
STU_0157,Student is interested in Cybersecurity. Completed course on Python with score 56%. Current level is Advanced. Needs improvement in NLP.,NLP,Advanced,Miracles of Human Language An Introduction to Linguistics
STU_0158,Student is interested in NLP. Completed course on Web Development with score 74%. Current level is Beginner. Needs improvement in Python.,Python,Beginner,Pricing Strategy Optimization
STU_0159,Student is interested in Data Science. Completed course on Computer Vision with score 44%. Current level is Beginner. Needs improvement in Data Science.,Data Science,Beginner,Cost and Economics in Pricing Strategy
STU_0160,Student is interested in Computer Vision. Completed course on Computer Vision with score 47%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,Russir le Changement
STU_0161,Student is interested in Computer Vision. Completed course on Web Development with score 72%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Introduction to Personal Branding
STU_0162,Student is interested in Cybersecurity. Completed course on Python with score 67%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,Foundations of Marketing Analytics
STU_0163,Student is interested in Computer Vision. Completed course on Machine Learning with score 54%. Current level is Advanced. Needs improvement in Python.,Python,Advanced,Web Design for Everybody Basics of Web Development  Coding
STU_0164,Student is interested in Machine Learning. Completed course on Computer Vision with score 88%. Current level is Beginner. Needs improvement in Machine Learning.,Machine Learning,Beginner,Introduction to Cyber Attacks
STU_0165,Student is interested in SQL. Completed course on Cybersecurity with score 51%. Current level is Advanced. Needs improvement in Computer Vision.,Computer Vision,Advanced,Integrative Health and Medicine
STU_0166,Student is interested in Cybersecurity. Completed course on Python with score 62%. Current level is Intermediate. Needs improvement in Cybersecurity.,Cybersecurity,Intermediate,Fundamental Neuroscience for Neuroimaging
STU_0167,Student is interested in Cloud. Completed course on Python with score 61%. Current level is Intermediate. Needs improvement in Data Science.,Data Science,Intermediate,Sales Training for High Performing Teams
STU_0168,Student is interested in Cybersecurity. Completed course on Computer Vision with score 92%. Current level is Advanced. Needs improvement in Web Development.,Web Development,Advanced,Algorithmic Toolbox
STU_0169,Student is interested in Cybersecurity. Completed course on Python with score 56%. Current level is Intermediate. Needs improvement in Cloud.,Cloud,Intermediate,Business Technology Management
STU_0170,Student is interested in Web Development. Completed course on SQL with score 82%. Current level is Advanced. Needs improvement in Machine Learning.,Machine Learning,Advanced,Introduction to CSS3
STU_0171,Student is interested in Web Development. Completed course on Machine Learning with score 73%. Current level is Intermediate. Needs improvement in NLP.,NLP,Intermediate,Optical Engineering
STU_0172,Student is interested in Cybersecurity. Completed course on Cybersecurity with score 53%. Current level is Intermediate. Needs improvement in Machine Learning.,Machine Learning,Intermediate,Machine Learning
